nyc_tractIDs,events_2001,pop_2001
36005000100,0,12611
36005000200,1,3625
36005000400,0,3533
36005001600,7,5277
36005002000,14,9035
36005002300,4,4398
36005002400,0,0
36005002500,1,5147
36005002701,7,3041
36005002702,7,4710
36005002800,3,5706
36005003100,4,1491
36005003300,3,3146
36005003500,2,3502
36005003700,6,455
36005003800,3,1262
36005003900,7,6066
36005004001,4,1420
36005004100,3,5329
36005004300,12,4816
36005004400,4,4684
36005004600,0,1441
36005004800,9,3700
36005005200,1,2171
36005005400,9,5581
36005005600,4,2710
36005005902,4,2672
36005006000,0,1085
36005006100,12,4007
36005006200,3,6418
36005006400,3,3968
36005006500,22,4723
36005006700,13,6541
36005006800,1,3178
36005006900,11,4648
36005007000,6,4202
36005007100,11,1886
36005007200,5,5108
36005007300,7,3312
36005007400,0,3525
36005007500,10,4707
36005007700,12,1369
36005007800,6,6196
36005007900,4,6612
36005008300,3,6198
36005008400,0,2108
36005008500,6,5432
36005008600,1,4361
36005008700,5,5229
36005008900,3,2915
36005009200,5,4890
36005009800,4,5488
36005011000,0,373
36005011502,13,4159
36005011800,1,5043
36005011900,12,4883
36005012101,1,2898
36005012102,0,1620
36005012300,8,3042
36005012500,2,2435
36005012701,5,2303
36005012901,14,2856
36005013000,0,1164
36005013100,2,3677
36005013200,3,5678
36005013300,3,6081
36005013500,21,3172
36005013800,0,2050
36005014100,22,2331
36005014300,6,836
36005014400,1,5553
36005014500,30,4972
36005014900,3,3760
36005015100,19,4810
36005015300,5,3068
36005015500,5,2802
36005015700,5,3573
36005015800,0,1211
36005016000,0,5053
36005016100,3,4717
36005016200,2,1725
36005016300,3,270
36005016400,0,1205
36005016500,6,1228
36005016600,0,2240
36005016700,4,1844
36005016900,6,1783
36005017100,0,3
36005017300,24,4956
36005017500,96,6510
36005018400,1,3711
36005018900,4,7312
36005019300,4,5268
36005019400,8,1690
36005019500,9,7371
36005019700,16,7729
36005019900,4,7908
36005020100,4,3667
36005020200,0,1858
36005020400,6,2893
36005020601,1,2443
36005021100,3,4636
36005021200,1,5237
36005021301,3,1438
36005021302,4,4123
36005021501,30,3672
36005021502,78,6659
36005021601,7,4326
36005021602,5,5341
36005021800,2,6634
36005021900,6,1312
36005022000,4,1450
36005022300,7,9219
36005022401,10,2618
36005022500,30,7004
36005022701,42,3253
36005022702,8,1708
36005022703,6,1582
36005022800,2,5820
36005022901,12,6020
36005022902,14,3128
36005023000,1,2774
36005023100,18,1604
36005023200,1,2364
36005023301,84,4863
36005023302,6,3532
36005023501,72,4299
36005023502,4,5099
36005023600,6,1876
36005023702,9,1214
36005023900,64,8118
36005024000,6,3541
36005024100,108,5979
36005024300,60,5442
36005024400,1,2086
36005024600,0,2084
36005024700,0,1803
36005024800,3,3257
36005024900,6,128
36005025000,1,2305
36005025100,66,6654
36005025200,4,2428
36005025300,10,6395
36005025400,0,1893
36005025500,54,6563
36005025600,1,1720
36005025700,2,1664
36005026100,0,1559
36005026300,26,7878
36005026400,4,4813
36005026500,14,6746
36005026601,0,2994
36005026602,9,5269
36005026900,8,4051
36005027300,6,7945
36005027600,0,52
36005027700,3,5311
36005027900,1,7161
36005028100,1,3820
36005028300,3,1402
36005028400,2,827
36005028500,3,3246
36005028600,8,1260
36005028700,5,3162
36005028800,3,3069
36005028900,10,4305
36005029500,7,4097
36005029600,4,3676
36005029700,2,3786
36005030000,6,5861
36005030100,2,1490
36005030200,3,8866
36005031000,0,4297
36005031200,1,1564
36005031400,1,2020
36005031600,1,1787
36005031800,0,1797
36005032400,8,2839
36005032800,2,3943
36005033000,13,5169
36005033400,5,336
36005033600,6,6143
36005033800,2,3845
36005034000,7,4385
36005034200,2,1548
36005034300,0,1578
36005034400,2,1556
36005034500,1,3506
36005035000,2,1899
36005035100,0,3348
36005035600,6,2021
36005035800,9,6943
36005035900,8,1417
36005036100,7,6257
36005036300,9,6664
36005036400,8,2686
36005036501,7,3476
36005036502,5,1856
36005036700,1,2261
36005036800,2,1613
36005036901,4,1717
36005036902,2,2141
36005037000,0,2219
36005037100,13,4300
36005037200,2,2186
36005037300,14,4942
36005037400,9,3512
36005037600,0,2119
36005037800,3,2821
36005037900,22,5060
36005038000,7,3979
36005038100,12,6212
36005038200,0,2569
36005038500,6,4140
36005038600,5,7152
36005038700,9,3374
36005038800,2,2398
36005038900,10,4634
36005039000,1,2619
36005039100,7,6433
36005039200,1,1625
36005039300,7,7772
36005039400,3,4465
36005039600,3,3436
36005039700,6,3892
36005039800,3,2802
36005039901,16,5517
36005039902,25,4993
36005040100,26,5231
36005040302,9,4543
36005040400,3,2915
36005040600,10,3407
36005040701,16,3313
36005040702,8,6711
36005040800,6,4039
36005040900,5,3513
36005041100,6,2724
36005041300,13,7502
36005041400,9,5038
36005041500,2,5619
36005041800,6,3569
36005041900,9,6873
36005042000,7,3793
36005042100,19,6739
36005042200,3,2732
36005042300,2,3811
36005042400,3,2562
36005042500,11,6555
36005042600,6,6461
36005042800,3,2232
36005042901,1,3249
36005042902,6,3693
36005043000,2,2955
36005043100,7,9803
36005043500,15,67
36005043600,2,2303
36005044200,2,3699
36005044800,0,1854
36005044901,1,1956
36005044902,1,1988
36005045101,1,1785
36005045102,2,1939
36005045800,1,7208
36005046000,3,2698
36005046201,17,24730
36005046202,2,7388
36005048400,7,3743
36005050400,0,8
36005051600,2,4504
36047000100,1,5168
36047000200,16,1320
36047000301,1,4958
36047000700,4,3650
36047000900,12,2377
36047001100,12,114
36047001300,8,2508
36047001800,4,1509
36047002000,9,1584
36047002100,6,1381
36047002200,42,4276
36047002300,5,4307
36047002901,4,4192
36047003000,3,1860
36047003100,10,2830
36047003300,17,2345
36047003400,2,2898
36047003500,5,1484
36047003600,0,3926
36047003700,25,360
36047003800,1,1597
36047003900,9,2129
36047004100,9,3285
36047004300,15,2948
36047004500,3,3432
36047004600,5,1215
36047004700,1,1151
36047004900,0,2585
36047005000,1,2388
36047005100,2,2101
36047005201,0,1780
36047005202,0,2456
36047005400,2,3199
36047005601,0,2514
36047005602,1,1529
36047005800,10,3293
36047005900,1,1128
36047006000,4,2899
36047006200,4,3041
36047006300,2,1829
36047006400,9,3483
36047006500,2,5142
36047006600,6,3634
36047006700,3,3480
36047006800,8,4790
36047006900,4,3360
36047007000,18,2528
36047007100,2,4598
36047007200,9,1868
36047007400,12,5343
36047007500,1,4446
36047007600,30,4437
36047007700,3,3904
36047007800,18,5023
36047008000,21,4341
36047008200,22,4078
36047008400,3,3237
36047008500,0,7247
36047008600,2,0
36047008800,7,3397
36047009000,4,2573
36047009200,10,5184
36047009400,6,4950
36047009600,6,5922
36047009800,12,6212
36047010000,15,6317
36047010100,5,4095
36047010200,12,4717
36047010400,21,5567
36047010600,12,5499
36047010800,15,4824
36047011000,1,2060
36047011200,5,6262
36047011400,6,4101
36047011600,5,4316
36047011700,4,2746
36047011800,20,2033
36047012000,24,1254
36047012100,2,1778
36047012200,12,5075
36047012700,2,3415
36047012801,3,2017
36047012901,3,2231
36047012902,8,2109
36047013000,10,4739
36047013100,8,3978
36047013200,4,2173
36047013300,3,3673
36047013400,10,3892
36047013500,9,2908
36047013600,4,3923
36047013700,5,2981
36047013800,10,3204
36047013900,16,3797
36047014000,1,1994
36047014100,4,2766
36047014200,2,3236
36047014300,11,3662
36047014500,9,4311
36047014700,2,2200
36047014800,0,1221
36047014900,8,4795
36047015000,3,1565
36047015100,2,3410
36047015300,4,2965
36047015400,2,0
36047015500,4,3308
36047015700,9,4142
36047015900,5,5085
36047016000,13,4244
36047016100,8,2619
36047016200,4,1858
36047016300,8,3156
36047016400,0,1178
36047016500,5,4876
36047016700,2,4544
36047016800,1,1434
36047016900,2,4771
36047017000,2,2919
36047017100,0,3478
36047017200,4,2897
36047017400,2,1755
36047017500,2,27
36047017600,0,2244
36047017700,23,10
36047017800,5,2611
36047017900,1,3403
36047018000,3,2843
36047018100,4,3899
36047018200,5,3051
36047018300,13,2502
36047018400,2,1980
36047018501,2,4707
36047018600,2,1876
36047018700,0,1247
36047018800,2,2618
36047019000,3,4614
36047019100,3,2769
36047019200,6,2366
36047019300,3,5257
36047019400,3,3094
36047019500,6,3776
36047019600,2,3899
36047019700,12,3551
36047019800,3,1709
36047019900,4,2944
36047020000,2,1972
36047020100,7,3611
36047020200,1,1769
36047020300,4,1242
36047020400,0,1935
36047020500,2,2445
36047020600,0,2195
36047020700,7,4624
36047020800,2,2696
36047021000,6,3373
36047021200,9,3738
36047021300,30,4682
36047021400,1,1844
36047021500,5,5586
36047021600,2,3643
36047021700,12,3819
36047021800,4,3783
36047021900,24,3797
36047022000,7,4499
36047022100,20,3897
36047022200,8,4717
36047022400,11,4996
36047022600,4,2541
36047022700,15,3411
36047022800,10,3415
36047022900,5,3176
36047023000,5,4210
36047023100,1,2800
36047023200,8,6023
36047023300,5,4895
36047023400,10,4746
36047023500,4,2150
36047023600,7,5259
36047023800,1,4482
36047024000,5,4641
36047024100,4,1630
36047024200,2,2826
36047024300,4,3938
36047024400,9,3086
36047024500,6,3595
36047024600,3,2946
36047024700,50,2346
36047024800,0,2473
36047024900,14,4198
36047025000,4,1552
36047025100,0,3783
36047025200,8,4667
36047025300,8,2550
36047025400,1,3391
36047025500,12,5079
36047025600,1,2966
36047025700,14,2036
36047025800,0,4355
36047025901,8,1900
36047025902,2,3577
36047026000,3,3481
36047026100,10,4492
36047026200,2,2365
36047026300,4,1876
36047026400,5,4455
36047026500,8,3729
36047026600,4,3433
36047026700,2,4128
36047026800,5,4034
36047026900,10,2804
36047027000,5,2348
36047027200,3,3453
36047027300,26,3035
36047027400,0,2900
36047027500,21,4172
36047027600,3,3367
36047027700,16,3995
36047027800,2,2804
36047027900,4,3779
36047028000,3,1692
36047028100,18,3640
36047028200,1,2895
36047028300,8,3670
36047028400,11,3844
36047028501,6,1322
36047028502,6,2908
36047028600,3,4968
36047028700,14,2779
36047028800,3,3498
36047028900,22,3443
36047029000,1,3813
36047029100,20,2811
36047029200,6,2452
36047029300,24,3260
36047029400,0,2347
36047029500,17,3713
36047029600,10,5362
36047029700,18,3349
36047029800,2,3390
36047029900,33,1750
36047030000,9,3630
36047030100,21,2659
36047030200,1,3761
36047030300,9,3514
36047030400,3,3997
36047030600,2,1928
36047030700,33,3816
36047030800,5,1717
36047030900,6,1610
36047031100,6,2669
36047031300,4,4770
36047031400,3,4503
36047031500,20,5352
36047031701,14,3650
36047031702,26,3556
36047031900,12,3816
36047032100,26,5550
36047032300,10,3741
36047032500,14,6618
36047032600,16,7217
36047032700,10,3774
36047032800,4,3288
36047032900,10,5828
36047033000,1,5219
36047033100,16,4704
36047033300,4,4450
36047033500,10,3120
36047033600,3,5119
36047033700,88,4498
36047033900,12,4524
36047034000,0,2485
36047034100,10,2762
36047034200,2,7366
36047034300,6,5417
36047034500,2,2540
36047034700,12,3150
36047034900,10,5555
36047035000,1,3550
36047035100,66,5006
36047035200,4,1264
36047035300,24,5518
36047035400,3,5686
36047035500,22,5416
36047035700,20,2315
36047035900,30,5301
36047036001,8,3450
36047036002,5,4200
36047036100,26,2540
36047036200,15,4996
36047036300,29,3707
36047036400,5,2618
36047036501,12,2377
36047036502,9,1022
36047036600,7,4482
36047036700,16,1365
36047036900,29,4912
36047037000,8,4064
36047037100,15,3996
36047037300,36,4158
36047037500,16,2838
36047037700,0,3811
36047037900,24,2916
36047038100,3,4839
36047038200,1,6139
36047038300,23,3991
36047038500,16,3606
36047038600,2,3387
36047038700,12,3624
36047038800,2,3807
36047038900,8,2334
36047039000,9,2200
36047039100,4,1550
36047039200,9,2786
36047039300,36,2875
36047039400,7,2518
36047039500,20,3610
36047039600,2,2041
36047039700,28,3252
36047039800,3,2415
36047039900,28,3781
36047040000,7,2960
36047040100,25,3194
36047040200,6,2582
36047040300,15,3039
36047040400,1,2153
36047040500,15,1349
36047040600,2,3099
36047040700,5,1
36047040800,3,2985
36047040900,8,3531
36047041000,2,1752
36047041100,10,2884
36047041200,3,2730
36047041300,34,3306
36047041401,6,1387
36047041402,11,1886
36047041500,24,3680
36047041600,3,2468
36047041700,12,3238
36047041800,6,2511
36047041900,12,3895
36047042000,4,2220
36047042100,24,3524
36047042200,4,3664
36047042300,26,2791
36047042400,4,3689
36047042500,6,2339
36047042600,1,3854
36047042700,27,5547
36047042800,3,3675
36047042900,30,5808
36047043000,4,3297
36047043100,102,5260
36047043200,7,3899
36047043300,98,3708
36047043400,6,3520
36047043500,19,4491
36047043600,3,4034
36047043700,27,5048
36047043800,3,2654
36047043900,33,3783
36047044000,4,2742
36047044100,24,5631
36047044200,0,2730
36047044300,21,5244
36047044400,3,3215
36047044500,24,4563
36047044600,2,1827
36047044700,3,1926
36047044800,5,1499
36047045000,6,1279
36047045200,0,2805
36047045300,8,1656
36047045400,3,2085
36047045600,7,2333
36047045800,5,1510
36047046201,2,2465
36047046202,4,1523
36047046400,0,2567
36047046800,1,1090
36047047000,0,3006
36047047200,3,2986
36047047400,5,2982
36047047600,8,3780
36047047700,4,2380
36047047800,4,4911
36047048000,8,3475
36047048100,5,2773
36047048200,2,5313
36047048400,24,5268
36047048600,20,3575
36047048800,8,4394
36047048900,8,4021
36047049000,20,6128
36047049100,24,5551
36047049200,16,3360
36047049300,16,7674
